kelurahan,latitude,longitude
Kedungsari,-7.451981523,110.2255812
Magersari,-7.492647453,110.2187148
Kramat Utara,-7.442315351,110.2221451
Jurangombo Utara,-7.488670169,110.2098366
Rejowinangun Selatan,-7.488057999,110.2241841
Wates,-7.466596788,110.2264424
Potrobangsan,-7.460336936,110.2174524
Panjang,-7.47834914,110.2224755
Kemiri Rejo,-7.48392388,110.2139797
Jurangombo,-7.493640625,110.207377
Tidar Selatan,-7.499463848,110.2285483
Kramat Selatan,-7.45111251,110.2188296
Magelang,-7.475561254,110.2187994
Tidar Utara,-7.490756626,110.229768
Gelangan,-7.47378031,110.2234385
Jurangombo Selatan,-7.497651558,110.2095434
Cacaban,-7.478651273,110.2116487
Rejowinangun Utara,-7.483387106,110.2286367
