No,tanggal,hari,bulan,tahun,barang,nopol,netto_kg,kabkot_supplier,jenis_kendaraan_supplier
6,31/12/2023,31,12,2023,Sampah,aa 9574 fa,500,Kabupaten Wonosobo,Kendaraan Khusus
15,31/12/2023,31,12,2023,Sampah,aa 9568 fa,1020,Kabupaten Wonosobo,Kendaraan Khusus
16,31/12/2023,31,12,2023,Sampah,aa 9538 ha,2410,Kota Magelang,Kendaraan Khusus
22,31/12/2023,31,12,2023,Sampah,aa 9829 da,440,Kabupaten Kebumen,Kendaraan Khusus
27,30/12/2023,30,12,2023,Sampah,ab 9699 we,1245,Kabupaten Gunungkidul,Kendaraan Khusus
28,30/12/2023,30,12,2023,Sampah,aa 9579 fa,440,Kabupaten Wonosobo,Kendaraan Khusus
32,30/12/2023,30,12,2023,Sampah,aa 9577 fa,920,Kabupaten Wonosobo,Kendaraan Khusus
35,30/12/2023,30,12,2023,Sampah,aa 9574 fa,1250,Kabupaten Wonosobo,Kendaraan Khusus
36,30/12/2023,30,12,2023,Sampah,aa 9845 da,320,Kabupaten Kebumen,Kendaraan Khusus
37,30/12/2023,30,12,2023,Sampah,aa 9538 ha,3010,Kota Magelang,Kendaraan Khusus
40,30/12/2023,30,12,2023,Sampah,aa 9664 da,670,Kabupaten Kebumen,Kendaraan Khusus
47,30/12/2023,30,12,2023,Sampah,aa 9582 fa,820,Kabupaten Wonosobo,Kendaraan Khusus
49,30/12/2023,30,12,2023,Sampah,aa 9538 ha,2330,Kota Magelang,Kendaraan Khusus
50,30/12/2023,30,12,2023,Sampah,aa 9829 da,340,Kabupaten Kebumen,Kendaraan Khusus
56,29/12/2023,29,12,2023,Sampah,ab 9699 we,1565,Kabupaten Gunungkidul,Kendaraan Khusus
58,29/12/2023,29,12,2023,Sampah,aa 9579 fa,760,Kabupaten Wonosobo,Kendaraan Khusus
61,29/12/2023,29,12,2023,Sampah,aa 9536 ha,1150,Kota Magelang,Kendaraan Khusus
62,29/12/2023,29,12,2023,Sampah,aa 9574 fa,470,Kabupaten Wonosobo,Kendaraan Khusus
65,29/12/2023,29,12,2023,Sampah,aa 9845 da,230,Kabupaten Kebumen,Kendaraan Khusus
67,29/12/2023,29,12,2023,Sampah,aa 9579 fa,920,Kabupaten Wonosobo,Kendaraan Khusus
68,29/12/2023,29,12,2023,Sampah,aa 9578 fa,1660,Kabupaten Wonosobo,Kendaraan Khusus
